"id","mjd","mag","magerr","limiting_mag","filter","instrument_name","flux","fluxerr"
706444381,60752.469385,,,18.85,atlaso,ATLAS,,104.71285480508975
706444382,60752.472249,,,18.88,atlaso,ATLAS,,101.85913880541169
706444383,60752.477901,,,18.77,atlaso,ATLAS,,112.71974561755094
706444384,60752.504953,,,18.34,atlaso,ATLAS,,167.49428760264365
706444385,60755.455327,,,14.58,atlaso,ATLAS,,5345.643593969714
706444386,60755.459522,,,15.09,atlaso,ATLAS,,3341.9504002611393
706444387,60755.464791,,,16.9,atlaso,ATLAS,,630.9573444801937
706444388,60755.500585,,,16.33,atlaso,ATLAS,,1066.596121230259
706444389,60756.467254,18.594,0.083,19.58,atlaso,ATLAS,132.55618607198556,10.133367014712165
706444390,60756.470984,18.748,0.107,19.54,atlaso,ATLAS,115.02705477901125,11.335990093556884
706444391,60756.477133,18.671,0.093,19.57,atlaso,ATLAS,123.48096078586018,10.57690560815667
706444392,60756.509064,18.623,0.093,19.5,atlaso,ATLAS,129.06247820605344,11.054996987815146
706444393,60757.43816,18.283,0.076,19.59,atlasc,ATLAS,176.52247174525536,12.356323565380265
706444394,60757.445671,18.182,0.059,19.58,atlasc,ATLAS,193.73139245819553,10.527559185133596
706444395,60757.448875,18.437,0.078,19.58,atlasc,ATLAS,153.17927158934143,11.004499188299883
706444396,60757.458819,18.357,0.063,19.62,atlasc,ATLAS,164.8921573150831,9.567891229310556
706444397,60758.488495,18.221,0.065,19.57,atlasc,ATLAS,186.89599716514888,11.188942362330963
706444398,60758.491726,18.278,0.07399999999999998,19.56,atlasc,ATLAS,177.33726245425586,12.08669045400245
706444399,60758.498101,18.32,0.067,19.58,atlasc,ATLAS,170.60823890031207,10.528111668586524
706444400,60758.516175,18.204,0.05899999999999999,19.59,atlasc,ATLAS,189.84536566615,10.316388571382383
706444401,60759.454056,18.621,0.081,19.72,atlaso,ATLAS,129.30043917962797,9.64629854623207
706444402,60759.457301,18.444,0.068,19.65,atlaso,ATLAS,152.1948650903652,9.532012270374965
706444403,60759.491643,18.515,0.068,19.65,atlaso,ATLAS,142.56075936021864,8.928625198286024
706444404,60759.49716,18.505,0.075,19.63,atlaso,ATLAS,143.8798578255845,9.938868474338808
706444405,60760.354028,18.524,0.075,19.5,atlaso,ATLAS,141.38391390945614,9.766454776712017
706444406,60760.358876,18.455,0.083,19.48,atlaso,ATLAS,150.66070661867434,11.517382025715618
706444407,60760.363712,18.445,0.072,19.55,atlaso,ATLAS,152.05475297324938,10.083427416434768
706444408,60760.368573,18.487,0.082,19.56,atlaso,ATLAS,146.28506869998535,11.048149247331235
706444409,60761.522535,18.336,0.078,19.47,atlasc,ATLAS,168.11249744769597,12.077311913754809
706444410,60761.525748,18.573,0.108,19.47,atlasc,ATLAS,135.14500541175573,13.443100193680204
706444411,60761.530865,18.423,0.081,19.49,atlasc,ATLAS,155.1672273907235,11.576058128639556
706444412,60761.541123,18.544,0.09,19.48,atlasc,ATLAS,138.80336665672326,11.50583626516168
706444413,60762.442915,18.549,0.079,19.62,atlasc,ATLAS,138.16562311673272,10.053164091229187
706444414,60762.445744,18.455,0.07,19.61,atlasc,ATLAS,150.66070661867434,9.713454720483051
706444415,60762.451216,18.394,0.068,19.58,atlasc,ATLAS,159.36758810287682,9.981242168681106
706444416,60762.485615,18.618,0.089,19.57,atlasc,ATLAS,129.65820353826285,10.628346060796673
706444417,60763.468142,18.473,0.071,19.49,atlaso,ATLAS,148.18355175164308,9.690228739042961
706444418,60763.48285,18.32,0.072,19.51,atlaso,ATLAS,170.60823890031207,11.313791643854174
706444419,60763.487639,18.422,0.087,19.49,atlaso,ATLAS,155.31020752328442,12.44500090842584
706444420,60763.498527,18.275,0.068,19.42,atlaso,ATLAS,177.82794100389228,11.137419877196129
706444421,60764.469114,18.257,0.08,19.16,atlaso,ATLAS,180.80065521100025,13.321884591756977
706444422,60764.484636,18.296,0.072,19.4,atlaso,ATLAS,174.42149315611752,11.56666550512433
706444423,60764.48893,18.326,0.073,19.38,atlaso,ATLAS,169.66802323464606,11.407711782889614
706444424,60764.498601,,,18.38,atlaso,ATLAS,,161.43585568264854
706444425,60765.468977,18.047,0.044,19.56,atlaso,ATLAS,219.38149918979056,8.890544426950509
706444426,60765.480826,18.144,0.056,19.53,atlaso,ATLAS,200.63190647905728,10.348173629643425
706444427,60765.486896,18.086,0.051,19.49,atlaso,ATLAS,211.64109507708656,9.941361264024476
706444428,60765.497379,18.246,0.062,19.51,atlaso,ATLAS,182.64172487743542,10.429593203925265
706444429,60766.463538,17.859,0.049,19.36,atlaso,ATLAS,260.85550118688985,11.772582973785095
706444430,60766.471006,17.947,0.05499999999999999,19.5,atlaso,ATLAS,240.54703049880942,12.18536014499194
706444431,60766.476127,17.91,0.049,19.47,atlaso,ATLAS,248.8857318282388,11.232379288945681
706444432,60766.480253,17.984,0.059,19.42,atlaso,ATLAS,232.4877101501638,12.63361656242767
706444433,60767.430499,18.066,0.053,19.5,atlaso,ATLAS,215.57579680386294,10.523290261974832
706444434,60767.438908,17.913,0.046,19.45,atlaso,ATLAS,248.19898435070934,10.515586778904588
706444435,60767.443299,17.87,0.042,19.51,atlaso,ATLAS,258.22601906345903,9.989068019594448
706444436,60767.447169,17.985,0.057,19.27,atlaso,ATLAS,232.2736796357105,12.194121998708606
706444437,60768.471969,17.786,0.044,19.36,atlaso,ATLAS,278.99729974082584,11.306504411291183
706444438,60768.478571,17.786,0.043,19.44,atlaso,ATLAS,278.99729974082584,11.049538401943655
706444439,60768.485385,17.851,0.053,19.4,atlaso,ATLAS,262.7846540838493,12.827781375814649
706444440,60768.492154,17.739,0.044,19.47,atlaso,ATLAS,291.3399222570161,11.806695330901672
706444441,60769.364559,17.714,0.073,19.05,atlaso,ATLAS,298.12610081722477,20.04465289476611
706444442,60769.368778,17.693,0.05800000000000001,19.11,atlaso,ATLAS,303.9484968770107,16.236920848369294
706444443,60769.371693,17.643,0.11400000000000002,18.46,atlaso,ATLAS,318.2731482170776,33.418005900272696
706444444,60769.377291,17.574,0.11100000000000002,18.47,atlaso,ATLAS,339.1563869058209,34.67357796632806
706444445,60770.391403,17.81,0.246,17.55,atlaso,ATLAS,272.89777828080406,61.83164304816846
706444446,60770.393218,17.627,0.288,17.27,atlaso,ATLAS,322.9981240595625,85.67777266843278
706444447,60770.396388,17.519,0.324,16.93,atlaso,ATLAS,356.77958828856265,106.46839084752257
706444448,60771.289199,17.547,0.05199999999999999,19.03,atlaso,ATLAS,347.6962446178125,16.652483946737316
706444449,60771.293778,17.555,0.05099999999999999,19.16,atlaso,ATLAS,345.1437393358561,16.212345714353283
706444450,60771.29835,17.559,0.05,19.1,atlaso,ATLAS,343.87452222912646,15.836006974904727
706444451,60771.302931,17.482,0.043,19.18,atlaso,ATLAS,369.1475581654127,14.619891030205507
706444452,60771.544195,17.419,0.036,19.36,atlaso,ATLAS,391.20103938735065,12.9711410158621
706444453,60772.369663,17.456,0.047,19.12,atlaso,ATLAS,378.09418668329647,16.36716791448773
706444454,60772.374601,17.498,0.051000000000000004,19.14,atlaso,ATLAS,363.7474856426317,17.08621457631771
706444455,60772.3775,17.448,0.04599999999999999,19.12,atlaso,ATLAS,380.89037649813474,16.137398055006702
706444456,60772.392273,17.493,0.047,19.17,atlaso,ATLAS,365.4264677506526,15.818800099888698
706444457,60774.373242,17.322,0.052,18.63,atlaso,ATLAS,427.7598314820376,20.487030956125448
706444458,60774.375055,17.301,0.06399999999999999,18.66,atlaso,ATLAS,436.11397139306484,25.707251952028233
706444459,60774.377868,17.265,0.054,18.73,atlaso,ATLAS,450.8167045414596,22.42174658867711
706444460,60774.38423,17.199,0.05,18.76,atlaso,ATLAS,479.07113000307305,22.062040848577777
706444461,60777.533652,16.9,0.227,16.91,atlaso,ATLAS,630.9573444801937,131.91723419494045
706444462,60777.562061,,,15.82,atlaso,ATLAS,,1706.0823890031209
706444463,60777.586835,,,16.98,atlaso,ATLAS,,586.1381645140278
